# id	type	subtype	attack	magic_attack	defense	magic_defense	slots	weapon_level	equip_level	jobs	locations	name	scripted
1176	Weapon	2hSword	160	0	0	0	2	4	55	Crusader,Knight,Swordsman	Both_Hand	Muscle Cutter	1
1177	Weapon	2hSword	120	0	0	0	0	1	0	Crusader,Knight,Swordsman	Both_Hand	Muramash	1
1178	Weapon	2hSword	160	0	0	0	2	4	48	Crusader,Knight,Swordsman	Both_Hand	Schweizersabel	1
1179	Weapon	2hSword	155	0	0	0	1	4	48	Crusader,Knight,Swordsman	Both_Hand	Executioner	1
1180	Weapon	2hSword	150	0	0	0	2	4	48	Crusader,Knight,Swordsman	Both_Hand	Dragon Slayer	1
1181	Weapon	2hSword	250	0	0	0	2	4	90	Crusader,Knight,Swordsman	Both_Hand	Tae Goo Lyeon	1
1182	Weapon	2hSword	200	0	0	0	2	4	50	Crusader,Knight,Swordsman	Both_Hand	Bloody Eater	1
1183	Weapon	2hSword	200	0	0	0	0	3	80	Crusader,Knight,Swordsman	Both_Hand	Brave Assaulter's Katzbalger	1
1184	Weapon	2hSword	200	0	0	0	0	3	80	Crusader,Knight,Swordsman	Both_Hand	Valorous Assaulter's Katzbalger	1
1185	Weapon	2hSword	275	0	0	0	2	4	80	Crusader,Knight,Swordsman	Both_Hand	Violet Fear	1
1186	Weapon	2hSword	200	0	0	0	2	4	70	Crusader,Knight,Swordsman	Both_Hand	Death Guidance	1
1187	Weapon	2hSword	220	0	0	0	0	4	80	Crusader,Knight,Swordsman	Both_Hand	Glorious Claymore	1
1188	Weapon	2hSword	180	0	0	0	1	4	80	Crusader,Knight,Swordsman	Both_Hand	Veteran Sword	1
1189	Weapon	2hSword	200	0	0	0	3	2	50	Crusader,Knight,Swordsman	Both_Hand	Krasnaya	1
1190	Weapon	2hSword	220	0	0	0	0	3	1	Crusader,Knight	Both_Hand	Claymore	1
1201	Weapon	Dagger	17	0	0	0	3	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Knife	0
1202	Weapon	Dagger	17	0	0	0	4	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Knife	0
1203	Weapon	Dagger	17	0	0	0	0	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Knife	0
1204	Weapon	Dagger	30	0	0	0	3	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Cutter	0
1205	Weapon	Dagger	30	0	0	0	4	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Cutter	0
1206	Weapon	Dagger	30	0	0	0	0	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Cutter	0
1207	Weapon	Dagger	43	0	0	0	3	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Main Gauche	0
1208	Weapon	Dagger	43	0	0	0	4	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Main Gauche	0
1209	Weapon	Dagger	43	0	0	0	0	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Main Gauche	0
1210	Weapon	Dagger	59	0	0	0	2	2	12	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Dirk	0
1211	Weapon	Dagger	59	0	0	0	3	2	12	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Dirk	0
1212	Weapon	Dagger	59	0	0	0	0	2	12	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Dirk	0
1213	Weapon	Dagger	73	0	0	0	2	2	12	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Dagger	0
1214	Weapon	Dagger	73	0	0	0	3	2	12	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Dagger	0
1215	Weapon	Dagger	73	0	0	0	0	2	12	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Dagger	0
1216	Weapon	Dagger	87	0	0	0	2	2	12	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Stiletto	0
1217	Weapon	Dagger	87	0	0	0	3	2	12	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Stiletto	0
1218	Weapon	Dagger	87	0	0	0	0	2	12	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Stiletto	0
1219	Weapon	Dagger	105	0	0	0	2	3	24	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Gladius	0
1220	Weapon	Dagger	105	0	0	0	3	3	24	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Gladius	0
1221	Weapon	Dagger	105	0	0	0	0	3	24	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Gladius	0
1222	Weapon	Dagger	118	0	0	0	1	3	24	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Damascus	1
1223	Weapon	Dagger	90	0	0	0	0	4	24	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Fortune Sword	1
1224	Weapon	Dagger	70	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Swordbreaker	1
1225	Weapon	Dagger	70	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Mailbreaker	1
1226	Weapon	Dagger	118	0	0	0	2	3	24	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Damascus	1
1227	Weapon	Dagger	80	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Weeder Knife	1
1228	Weapon	Dagger	80	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Combat Knife	1
1229	Weapon	Dagger	75	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Kitchen Knife	1
1230	Weapon	Dagger	80	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Ice Pick	1
1231	Weapon	Dagger	70	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Bazerald	1
1232	Weapon	Dagger	140	0	0	0	0	4	36	Assassin	Right_Hand	Assassin Dagger	1
1233	Weapon	Dagger	90	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Exorciser	1
1234	Weapon	Dagger	50	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Moonlight Dagger	1
1235	Weapon	Dagger	110	0	0	0	0	4	36	Alchemist	Right_Hand	Azoth	1
1236	Weapon	Dagger	140	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Sucsamad	1
1237	Weapon	Dagger	180	0	0	0	0	4	36	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Grimtooth	1
1238	Weapon	Dagger	64	0	0	0	0	3	70	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Zeny Knife	1
1239	Weapon	Dagger	64	0	0	0	0	3	65	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Poison Knife	1
1240	Weapon	Dagger	84	0	0	0	0	4	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Rogue,Sage,SoulLinker,Swordsman,Thief,Wizard	Right_Hand	Princess Knife	1
1241	Weapon	Dagger	55	0	0	0	0	4	85	Mage,Sage,SoulLinker,Wizard	Right_Hand	Cursed Dagger	1
1242	Weapon	Dagger	140	0	0	0	0	4	55	Mage,Sage,SoulLinker,Wizard	Right_Hand	Dagger of Counter	1
1243	Weapon	Dagger	45	0	0	0	0	1	1	Novice,SuperNovice	Right_Hand	Novice Main-Gauche	0
1244	Weapon	Dagger	100	0	0	0	0	4	55	Assassin,Ninja,Rogue,Thief	Right_Hand	Holy Dagger	1
1245	Weapon	Dagger	110	0	0	0	1	3	30	Novice,SuperNovice	Right_Hand	Cinquedea	0
1246	Weapon	Dagger	110	0	0	0	2	3	30	Novice,SuperNovice	Right_Hand	Cinquedea	0
1247	Weapon	Dagger	39	0	0	0	0	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Kindle Dagger	1
1248	Weapon	Dagger	39	0	0	0	0	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Obsidian Dagger	1
1249	Weapon	Dagger	39	0	0	0	0	1	1	Alchemist,Archer,Assassin,BardDancer,Blacksmith,Crusader,Hunter,Knight,Mage,Merchant,Ninja,Novice,Rogue,Sage,SoulLinker,SuperNovice,Swordsman,Thief,Wizard	Right_Hand	Fisherman's Dagger	1
1250	Weapon	Katar	125	0	0	0	2	2	18	Assassin	Both_Hand	Jur	0
1251	Weapon	Katar	125	0	0	0	3	2	18	Assassin	Both_Hand	Jur	0
1252	Weapon	Katar	148	0	0	0	1	3	33	Assassin	Both_Hand	Katar	1
1253	Weapon	Katar	148	0	0	0	2	3	33	Assassin	Both_Hand	Katar	1
1254	Weapon	Katar	165	0	0	0	0	3	33	Assassin	Both_Hand	Jamadhar	0
1255	Weapon	Katar	165	0	0	0	1	3	33	Assassin	Both_Hand	Jamadhar	0
1256	Weapon	Katar	105	0	0	0	0	3	55	Assassin	Both_Hand	Katar of Frozen Icicle	1
1257	Weapon	Katar	105	0	0	0	0	3	55	Assassin	Both_Hand	Katar of Quaking	1
1258	Weapon	Katar	105	0	0	0	0	3	55	Assassin	Both_Hand	Katar of Raging Blaze	1
1259	Weapon	Katar	105	0	0	0	0	3	55	Assassin	Both_Hand	Katar of Piercing Wind	1
1260	Weapon	Katar	150	0	0	0	0	3	65	Assassin	Both_Hand	Sharpened Legbone of Ghoul	1
1261	Weapon	Katar	140	0	0	0	0	4	75	Assassin	Both_Hand	Infiltrator	1
1262	Weapon	Katar	115	0	0	0	0	3	55	Assassin	Both_Hand	Loki's Nail	1
1263	Weapon	Katar	151	0	0	0	0	4	70	Assassin	Both_Hand	Unholy Touch	1
1264	Weapon	Katar	90	0	0	0	4	1	1	Assassin	Both_Hand	Specialty Jur	1
1265	Weapon	Katar	120	0	0	0	0	4	75	Assassin	Both_Hand	Bloody Roar	1
1266	Weapon	Katar	140	0	0	0	1	4	75	Assassin	Both_Hand	Infiltrator	1
1267	Weapon	Katar	189	0	0	0	0	4	1	Assassin	Both_Hand	Infiltrator	1
1268	Weapon	Katar	160	0	0	0	1	4	55	Assassin	Both_Hand	Wild Beast Claw	1
1269	Weapon	Katar	140	0	0	0	0	4	55	Assassin	Both_Hand	Inverse Scale	1
1270	Weapon	Katar	110	0	0	0	1	4	55	Assassin	Both_Hand	Drill Katar	1
1271	Weapon	Katar	120	0	0	0	2	4	55	Assassin	Both_Hand	Blood Tears	1
1272	Weapon	Katar	120	0	0	0	0	1	0	Assassin	Both_Hand	Scratcher	1
1273	Weapon	Katar	148	0	0	0	0	4	0	Assassin	Both_Hand	Refined Bloody Roar	1
1274	Weapon	Katar	179	0	0	0	0	4	0	Assassin	Both_Hand	Refined Unholy Touch	1
1275	Weapon	Katar	105	0	0	0	3	3	55	Assassin	Both_Hand	Katar of Frozen Icicle	1
1276	Weapon	Katar	105	0	0	0	3	3	55	Assassin	Both_Hand	Katar of Quaking	1
1277	Weapon	Katar	105	0	0	0	3	3	55	Assassin	Both_Hand	Katar of Raging Blaze	1
